russian,zilo,gender,abs.pl,obl.sg,obl.pl,loc,GA,pst,imp,pos,transducer_entry,transducer_lexicon_group
красить,бушери,,,,,,,бушо,бушо,V,"бушери<V>:буш[thematic-i,transitive]",Verb
краснеть,гьиᵸрилъери,,,,,,,гьиᵸрилъи,гьиᵸрилъиб,V,гьиᵸрилъери<V>:гьиᵸрилъ[thematic-i],Verb
краска,лажбар,"б, б",лажбардул,лажбарулӏи,лажбардалӏи,,,,,N,,
кровать,карават,"б, б",караватол,караватиллӏи,караваталӏи,,,,,N,,
крючок,кицӏу,"р, р",кицӏодул,кицӏудолӏи,кицӏодалӏи,,,,,N,,
куда,иба,,,,,,"ийа, иба, ивал, ийал",,,ADV,иба:и :а,Adverb_class_internal(2)
куда-то,ивалъиболо,,,,,,,,,ADV,ивалъиболо,Adverb_no_class
кукла,йошикӏу,"й, й",йошикӏобил,йошикӏоллӏи,йошикӏобалӏи,,,,,N,,
кукушка,гуггу,"б, й",гуггибол,гуггуллӏи,гуггибалӏи,,,,,N,,
куница,саркьу,"б, й",саркьодул,саркьуллӏи,саркьодалӏи,,,,,N,,
лев,гъалбацӏ,"б, й",гъалбацӏол,гъалбацӏулӏи,гъалбацӏалӏи,,,,,N,,
лекарство,дару,"б, б",дарудул,дарудолӏи,дарудалӏи,,,,,N,,
лениться,кӏвахӏаллъери,,,,,,,кӏвахӏаллъи,кӏвахӏаллъиб,V,кӏвахӏаллъери<V>:кӏвахӏаллъ[thematic-i],Verb
лестница,милъур,"б, б",милъурдул,милъурулӏи,милъурдалӏи,,,,,N,,
любовь,рукьи,"б, б",рукьил,рукьиллӏи,рукьилилӏи,,,,,N,,
магнит,макълатӏис,"б, б",макълатӏисол,макълатӏисиллӏи,макълатӏисалӏи,,,,,N,,
материнство,илалъир,"б, б",илалъирол,илалъирлӏи,илалъиралӏи,,,,,N,,
мельник,иходуша,"в, в",иходушул,иходушашуб,иходушулуб,,,,,N,,
метка,анжи,"р, р",анжодул,анжиллӏи,анжодалӏи,,,,,N,,
мечеть,маштику,"б, б",маштикобил,маштикулӏи,маштикобалӏи,,,,,N,,
моросить,лӏоммери,,,,,,,лӏомми,,V,,Verb
молодеть,олохъанлъери,,,,,,,олохъанлъи,олохъанлъиб,V,олохъанлъери<V>:олохъанлъ[thematic-i],Verb
мечта,хийал,"б, б",хийалол,хийалулӏи,хийалалӏи,,,,,N,,
мозг,гьону,"р, р",гьонодул,гьонудолӏи,гьонодалӏи,,,,,N,,
мять,къиннери,,,,,,,къинни,къинно,V,"къиннери<V>:къинн[thematic-i,transitive]",Verb
на,го,,,,,,,,,EXCL,,
наверх,гьиъо,,,,,,,,,ADV,гьиъо,Adverb_no_class
навес,окъу,"б, б",окъудул,окъулӏи,окъудалӏи,,,,,N,,
надоедать,чӏаланну,,,,,,,чӏалан,чӏалам,V,чӏаланну<V>:чӏала[nasal],Verb
навоз,чил,"б, б",чилил,чиллӏи,чилилилӏи,,,,,N,,
назло,тӏулларай,,,,,,,,,ADV,тӏулларай,Adverb_no_class
наказание,тамихӏ,"б, б",тамихӏол,тамихӏиллӏи,тамихӏаллӏи,,,,,N,,
наковальня,лачи,"р, р",лачил,лачиллӏи,лачилилӏи,,,,,N,,
например,масала,,,,,,,,,ADV,масала,Adverb_no_class
наследство,ирси,"б, б",ирсил,ирсиллӏи,ирсилилӏи,,,,,N,,
начало,байбихьи,"б, б",байбихьилал,,,,,,,N,,
несколько,чомло,,,,,,,,,ADV,чомло,Adverb_no_class
нигде,себгулолъуссу,,,,,,,,,ADV,себгулолъуссу,Adverb_no_class
нижний,гьикьуккуси,,,,,,,,,ADJ,гьикьуккуси,Adjective_no_class
никакой,себгулоссу,,,,,,"сергулоссу, севгулоссу, сейгулоссу",,,ADJ,себгулоссу:се :гулоссу,Adjective_class_internal(2)
никто,себгулоссу,,,,,,"сергулоссу, севгулоссу, сейгулоссу",,,ADJ,себгулоссу:се :гулоссу,Adjective_class_internal(2)
обувь,нассил,,нассилол,,,,,,,N,,
оружие,йарагъи,"б, б",йарагъол,йарагъолӏи,йарагъалӏи,,,,,N,,
отказ,инкар,"б, б",инкардул,инкарулӏи,инкардалӏи,,,,,N,,
отсюда,гьонолъукку,,,,,,,,,ADV,гьонолъукку,Adverb_no_class
оттуда,гьондолъукку,,,,,,,,,ADV,гьондолъукку,Adverb_no_class
очередь,очири,"б, б",очиридол,очириллӏи,очиридалӏи,,,,,N,,
ошибка,гъалатӏи,"б, б",гъалатӏол,гъалатӏиллӏи,гъалатӏалӏи,,,,,N,,
павлин,тӏавус,"б, й",тӏавусол,тӏавусолӏи,тӏавусалӏи,,,,,N,,
падаль,балкан,"б, б",балкамил,балканулӏи,балкамалӏи,,,,,N,,
пар,гьал,"б, б",гьалил,гьалуллӏи,гьалилилӏи,,,,,N,,
передний,сседусси,,,,,,,,,ADJ,сседусси,Adjective_no_class
персик,бечӏухаллӏи къурчи,,,,,,,,,N,,
петля,шинкӏи,"б, б",шинкӏилол,шинкӏиллӏи,шинкӏилалӏи,,,,,N,,
печать,мугьуру,"б, б",мугьуродул,мугьурулӏи,мугьуродалӏи,,,,,N,,
письмо,кагъар,"р, р",кагъардул,кагъарулӏи,кагъардалӏи,,,,,N,,
платье,гурдо,"р, р",гурдибол,гурдулӏи,гурдибалӏи,,,,,N,,
поблизости,лӏеру,,,,,,,,,ADV,лӏеру,Adverb_no_class
подарок,сайгъат,"б, б",сайгъатол,сайгъатиллӏи,сайгъаталӏи,,,,,N,,
подвиг,гьунар,"б, б",гьунардул,гьунарулӏи,гьунардалӏи,,,,,N,,
ползать,хъуршунну,,,,,,,хъуршун,хъуршум,V,хъуршунну<V>:хъуршу[nasal],Verb
подозревать,щаккунну,,,,,,,щаккун,щаккум,V,щаккунну<V>:щакку[nasal],Verb
подлый,хӏалихьати,,,,,,,,,ADJ,хӏалихьати,Adjective_no_class
польза,пайда,"б, б",пайдал,пайдаллӏи,пайдалилӏи,,,,,N,,
понос,риххил,"р, р",риххилол,риххиллӏи,риххилалӏи,,,,,N,,
порода,тайпа,"б, б",тайпал,тайпаллӏи,тайпалилӏи,,,,,N,,
потом,онщило,,,,,,,,,ADV,онщило,Adverb_no_class
походка,релӏлӏир,,,,,,,,,N,,
право,ихтийар,"б, б",ихтийарол,ихтийарлӏи,ихтийаралӏи,,,,,N,,
приказ,амру,"б, б",амродул,амруллӏи,амродалӏи,,,,,N,,
причина,багьанна,"б, б",багьаннобил,багьанналлӏи,багьаннобалӏи,,,,,N,,
прут,цӏул,"р, р",цӏулибол,цӏулоллӏи,цӏулибалӏи,,,,,N,,
прут,жала,"р, р",жалибол,жалулӏи,жалибалӏи,,,,,N,,
пуля,гулла,"б, б",гуллил,гуллаллӏи,гуллалилӏи,,,,,N,,
пух,назбар,"б, б",назбардул,назбарулӏи,назбардалӏи,,,,,N,,
пятница,рузман,,,,,,,,,N,,
разводиться,биххери,,,,,,"вуххий, йиххий",вуххи,воххиб,V,биххери<V>:хх[thematic-i],Verb_class_prefix_i_o
рабочий,гьалтӏухъан,"в, в",гьалтӏухъамадул,гьалтӏухъаншув,гьалтӏухъамадав,,,,,N,,
рабочая,гьалтӏухъан,"й, й",гьалтӏухъамадул,гьалтӏухъанлӏи,гьалтӏухъамадалӏи,,,,,N,,
радость,роххел,"р, р",роххелол,роххелулӏи,роххелалӏи,,,,,N,,
ранить,къиройдери,,,,,,,къиройди,къиройдо,V,"къиройдери<V>:къиройд[thematic-i,transitive]",Verb
рано,беркъа,,,,,,,,,ADV,беркъа,Adverb_no_class
редко,нагвагьи,,,,,,,,,ADV,нагвагьи,Adverb_no_class
речь,реддон,"р, р",реддомил,реддонулӏи,реддомалӏи,,,,,N,,
рис,пулав,"б, б",пулавол,пулавлӏи,пулавулӏи,,,,,N,,
родина,ватӏан,"б, б",ватӏамил,ватӏанулӏи,ватӏамалӏи,,,,,N,,
родители,илаъима,р,,илаъималлӏи,,,,,,N,,
рубль,сом,"б, б",сомил,,,,,,,N,,
ручка,кверччин,"б, б",кверччимол,кверччинулӏи,кверччималӏи,,,,,N,,
ряд,михъур,"б, б",михъурдул,михъурулӏи,михъурдалӏи,,,,,N,,
сажа,лали,"б, б",лалил,лалиллӏи,лалилилӏи,,,,,N,,
сам,живгу,,,,,,"живгу, жийгу, жибгу, живулгу, жийилгу, жибулгу",,,ADJ,жибгу:жи :гу,Adjective_class_internal(2)
свобода,элолъир,"б, б",элолъирол,элолъирлӏи,элолъиралӏи,,,,,N,,
свободный,элолъир,,,,,,,,,ADJ,элолъир,Adjective_no_class
семьдесят,гьокьуцӏолгу,,,,,,,,,NUM,,
семьсот,гьокьубешенугу,,,,,,,,,NUM,,
сера,чӏабатӏи,"б, б",чӏабатӏол,чӏабатӏулӏи,чӏабатӏулӏол,,,,,N,,
сила,къуват,"б, б",къуватол,къуватулӏи,къуваталӏи,,,,,N,,
скандал,питна,"р, р",питнал,питналлӏи,питналилӏи,,,,,N,,
сковорода,зайдан,"р, р",зайдамил,зайданулӏи,зайдамалӏи,,,,,N,,
сковорода,гел,"б, б",гелил,гелулӏи,гелилилӏи,,,,,N,,
сколько,чӏомгъи,,,,,,,,,ADV,чӏомгъи,Adverb_no_class
сколько,илъагъи,,,,,,,,,ADV,илъагъи,Adverb_no_class
сколько,илъалгъи,,,,,,,,,ADV,илъалгъи,Adverb_no_class
сколько угодно,чӏобъасси,,,,,,,,,ADV,чӏобъасси,Adverb_no_class
сколько угодно,ибъасси,,,,,,,,,ADV,ибъасси,Adverb_no_class
скорпион,гьочӏо-ричӏин,"б, й",гьочӏо-ричӏимол,гьочӏо-ричӏинулӏи,гьочӏо-ричӏималӏи,,,,,N,,
скрип,къирри,"б, б",къиррилал,къирриллӏи,къиррилалӏи,,,,,N,,
скупой,къинниб,,,,,,,,,ADJ,къинниб[b],Adjective_no_class
слабый,загӏип,,,,,,,,,ADJ,загӏип,Adjective_no_class
слой,кьал,"б, б",кьалил,кьалуллӏи,кьалилилӏи,,,,,N,,
слон,пил,"б, й",пилил,пилуллӏи,пилилилӏи,,,,,N,,
смерть,ричӏор,"р, р",ричӏорол,ричӏоролӏи,ричӏоралӏи,,,,,N,,
смех,релъи,"б, б",релъил,релъиллӏи,релъилилӏи,,,,,N,,
сморкаться,лъуннери,,,,,,,лъунни,лъунно,V,"лъуннери<V>:лъунн[thematic-i,transitive]",Verb
совет,акълу,"р, р",акълодул,акълуллӏи,акълодалӏи,,,,,N,,
сомнение,щакилъир,"б, б",щакилъирол,щакилъирлӏи,щакилъиралӏи,,,,,N,,
сон,мокьи,"р, р",мокьалол,мокьиллӏи,мокьалалӏи,,,,,N,,
ссориться,бихонну,,,,,,"вохонну, йохонну, вухонну, йихонну",вохон,вохом,V,бихонну<V>:хо[nasal],Verb_class_prefix_i_o
спасибо,баркала,,,,,,,,,EXCL,,
спичка,къали,"б, б",къалил,къалиллӏи,къалилилӏи,,,,,N,,
спор,даъба,"б, б",даъбал,даъбалӏи,даъбалилӏи,,,,,N,,
спорить,къеценхъвери,,,,,,,къеценхъу,къеценхъуб,V,къеценхъвери<V>:къеценхъв[thematic-u],Verb
стадо,реда,"р, р",редал,редалӏи,редалилӏи,,,,,N,,
старость,рохорлъир,"б, б",рохороллъир,рохорлъирлӏи,рохороллъирлӏи,,,,,N,,
столько,ибъало,,,,,,,,,ADV,ибъало,Adverb_no_class
стонать,зигардери,,,,,,,зигарди,зигардиб,V,зигардери<V>:зигард[thematic-i],Verb
сторона,исиб,"б, б",исибол,исиблӏи,исибалӏи,,,,,N,,
странный,тамаша,,,,,,,,,ADJ,тамаша,Adjective_no_class
суббота,щамати,"р, р",щаматол,щаматилӏи,щаматалӏи,,,,,N,,
сукно,ххам,"б, б",ххамил,ххамлӏи,ххамилилӏи,,,,,N,,
сутки,релъозубу,"р, р",релъозубодул,релъозубулӏи,релъозубодалӏи,,,,,N,,
сюда,гьобаро,,,,,,"гьойаро, гьоваро",,,ADV,гьобаро:гьо :аро,Adverb_class_internal(2)
табак,тамако,"б, б",тамакол,тамаколӏи,тамакобалӏи,,,,,N,,
таз,тӏасси,"б, б",тӏассил,тӏассиллӏи,тӏассилилӏи,,,,,N,,
так,гьонокьей,,,,,,,,,ADV,гьонокьей,Adverb_no_class
такой,гьенебдий,,,,,,,,,ADJ,гьенебдий,Adjective_no_class
творог,исо,"р, р",исобил,исолӏи,исобалӏи,,,,,N,,
терпение,сабру,"б, б",сабродул,сабрулӏи,сабродалӏи,,,,,N,,
толпа,алам,б,,аламулӏи,,,,,,N,,
толпа,гӏалам,б,,гӏаламулӏи,,,,,,N,,
труба,мащу,"б, б",мащодул,мащодолӏи,мащодалӏи,,,,,N,,
трус,ццуццул,,,,,,,,,N,,
туда,гьудуба,,,,,,"гьудуйа, гьудува, гьудувал, гьудуйал",,,ADV,гьудуба:гьуду :а,Adverb_class_internal(2)
удивительный,тамаша,,,,,,,,,ADJ,тамаша,Adjective_no_class
урчание,къуркъудир,,,,,,,,,N,,
утренний,охходоросси,,,,,,,,,ADJ,охходоросси,Adjective_no_class
утром,охходоро,,,,,,,,,ADV,охходоро,Adverb_no_class
фасоль,гьоли,"р, р",гьолил,гьолиллӏи,гьолилилӏи,,,,,N,,
финик,чамасаги,"б, б",чамасагол,чамасагиллӏи,чамасагалӏи,,,,,N,,
ходить,белӏери,,,,,,"велӏи, йелӏи, белӏи",велӏи,велӏиб,V,белӏери<V>:елӏ[thematic-i],Verb_class_prefix
фитиль,чалу,"р, р",чалодул,чалулӏи,чалодалӏи,,,,,N,,
халва,хӏавла,б,,хӏавлаллӏи,,,,,,N,,
хлопок,пампа,,,,,,,,,N,,
хозяйство,магӏишати,б,,магӏишатиллӏи,,,,,,N,,
цемент,ссимити,"б, б",ссимитол,ссимитулӏи,ссимиталӏи,,,,,N,,
червяк,щирщил,"б, й",щирщилол,щирщилулӏи,щирщилалӏи,,,,,N,,
чернеть,бечӏедирлъери,,,,,,"вечӏедирлъи, йечӏедирлъи, бечӏедирлъи, бечӏедироллъи, вечӏедироллъи, йечӏедироллъи",вечӏедирлъи,вечӏедирлъиб,V,бечӏедирлъери<V>:ечӏедирлъ[thematic-i],Verb_class_prefix
черепаха,цӏилли къурру,,,,,,,,,N,,
чернила,щакъи,"б, б",щакъил,щакъиллӏи,щакъилилӏи,,,,,N,,
честь,йахӏ,б,,йахӏиллӏи,,,,,,N,,
четвертый,боъолдеб,,боъолдебул,,,,,,,NUM,,
четки,ссайлат,"р, р",ссайлатол,ссайлатиллӏи,ссайлаталӏи,,,,,N,,
чугун,хъазан,,,хъазанулӏи,,,,,,N,,
шакал,ангурбоцӏо,"б, й",ангурбоцӏол,ангурулӏи,ангурдалӏи,,,,,N,,
шалаш,чалахъи,"б, б",чалахъол,чалахъулӏи,чалахъалӏол,,,,,N,,
шариат,шаръи,б,,шаръиллӏи,,,,,,N,,
шевелиться,бергъери,,,,,,"йергъери, вергъерил",вергъа,вергъаб,V,бергъери<V>:ергъ[thematic-a],Verb_class_prefix
шелк,чиллай,б,,чиллайлӏи,,,,,,N,,
шорох,ширшири,б,,,,,,,,N,,
шум,хъуй,"б, б",хъуйил,хъуйлӏи,,,,,,N,,
щипать,цӏцӏиммери,,,,,,,цӏцӏимми,цӏцӏиммо,V,"цӏцӏиммери<V>:цӏцӏимм[thematic-i,transitive]",Verb
щедрый,йахӏилжа,,,,,,,,,ADJ,йахӏилжа,Adjective_no_class
этаж,ала,б,,алаллӏи,,,,,,N,,
этаж,хъала,б,,хъалаллӏи,,,,,,N,,
блеять,гъаргъадери,,,,,,,гъаргъади,гъаргъадиб,V,гъаргъадери<V>:гъаргъад[thematic-i],Verb
ясный,рахоб,,,,,,,,,ADJ,рахоб[b],Adjective_no_class
барсук,гьочӏомусси,"б, й","гьочӏомуссил, гьочӏомуссол",гьочӏомуссиллӏи,гьочӏомуссалӏол,,,,,N,,
белка,соригьинкӏкӏу,"б, й",соригьинкӏкӏвол,соригьинкӏкӏолӏи,соригьинкӏкӏваллӏол,,,,,N,,
блеять,багӏадери,,,,,,,багӏади,багӏадиб,V,багӏадери<V>:багӏад[thematic-i],Verb
богатый,буртӏа,,,,,,,,,ADJ,буртӏа,Adjective_no_class
болото,лъуцӏцӏи,"б, б",лъуцӏцӏил,лъуцӏцӏилӏи,лъуцӏцӏилилӏи,,,,,N,,
больной,рукъудосси,,,"рукъудоссишур, рукъудоссилӏи",,,,,,ADJ,рукъудосси,Adjective_no_class
вешать,гелоллу,,,,,,,гелолъи,гелолло,V,гелоллу<V>:гел[causative],Verb
бояться,сирери,,,,,,,сири,сириб,V,сирери<V>:сир[thematic-i],Verb
вино,вино,б,,виноллӏи,,,,,,N,,
враг,тушман,"в, в","тушманол, тушманадул",тушманшур,,,,,,N,,
гаснуть,бичӏери,,,,,,"бичӏо, ричӏо",бичӏо,ричӏоб,V,бичӏери<V>:чӏ[thematic-o],Verb_class_prefix_i_o
всхлипывать,лълъимкъишери,,,,,,,лълъимкъишо,лълъимкъишоб,V,лълъимкъишери<V>:лълъимкъиш[thematic-o],Verb
гнуть,чӏаболлу,,,,,,,чӏаболъи,чӏаболло,V,чӏаболлу<V>:чӏаб[causative],Verb
враг,тушман,"й, й","тушманол, тушманадул","тушманлӏи, тушманулӏи",,,,,,N,,
говорить,беддонну,,,,,,"веддон, йеддон, веддонил",веддон,веддом,V,беддонну<V>:еддо[nasal],Verb_class_prefix
говорить,рулӏери,,,,,,,рулӏи,рулӏо,V,"рулӏери<V>:рулӏ[thematic-i,transitive]",Verb
горячий,бекӏкӏуб,,,,,,рекӏкӏуб,,,ADJ,бекӏкӏуб:екӏкӏуб[b],Adjective_class_prefix
гумно,гьинцӏцӏу,б,,гьинцӏцӏулӏи,,,,,,N,,
гусь,хъази,"б, й",хъазол,хъазолӏи,хъазалӏи,,,,,N,,
два,чӏегу,,,,,,,,,NUM,,
двадцать,чӏецӏолгу,,,,,,,,,NUM,,
девять,гьочӏогу,,,,,,,,,NUM,,
держать,биччери,,,,,,"биччи, риччи",биччи,биччо,V,"биччери<V>:чч[thematic-i,transitive]",Verb_class_prefix_i_o
деньги,орси,б,,орсилӏи,,,,,,N,,
десять,гьоцӏогу,,,,,,,,,NUM,,
дрова,лъуди,"б, б",лъудол,лъудиллӏи,лъудалӏи,,,,,N,,
жарить,бежери,,,,,,"бежо, режо",бежа,бежо,V,"бежери<V>:еж[thematic-a,transitive]",Verb_class_prefix
друг,гьомологъи,"в, в",гьомологъадул,гьомологъишур,гьомологъадар,,,,,N,,
подруга,гьомологъи,"й, й",гьомологъадул,гьомологъиллӏи,гьомологъадалӏи,,,,,N,,
живой,чӏаго,,,,,,,,,ADJ,чӏаго,Adjective_no_class
зевать,гьаъакьери,,,,,,,гьаъакьо,гьаъакьиб,V,,Verb
замок,рекӏулол,р,,,рекӏулалӏи,,,,,N,,
зять,нусо,"в, в",нусобдул,нусошув,нусобдавул,,,,,N,,
камыш,цӏцӏума,б,,цӏцӏумалӏи,,,,,,N,,
качаться,гьанкӏери,,,,,,,гьанкӏишо,гьанкӏишоб,V,гьанкӏери<V>:гьанкӏ[thematic-o],Verb
кипятить,оххонну,,,,,,,оххонлъи,оххонно,V,"оххонну<V>:охх[nasal,causative]",Verb
карман,кисав,"б, б",кисавол,кисавлӏи,кисавалӏи,,,,,N,,
кишка,рудил,"б, б",рудилол,рудилулӏи,рудилалӏи,,,,,N,,
класть,бикӏоллу,,,,,,"бикӏолъи, рикӏолъи, вукӏолъи, йикӏолъи, бокӏолъи, рокӏолъи, вокӏолъи, йокӏолъи",бикӏолъи,бикӏолло,V,бикӏоллу<V>:кӏ[causative],Verb_class_prefix_i_o
кожа,хъал,б,хъалил,хъалуллӏи,хъалилилӏи,,,,,N,,
колыбель,кини,"б, б",кимил,киниллӏи,кимилилӏи,,,,,N,,
колючка,цӏцӏана,"р, р",цӏцӏанибол,цӏцӏанолӏи,цӏцӏанибалӏи,,,,,N,,
петь,къорери,,,,,,,къори,къоро,V,"къорери<V>:къор[thematic-i,transitive]",Verb
позвать,къорери,,,,,,,къори,къоро,V,"къорери<V>:къор[thematic-i,transitive]",Verb
позвонить,къорери,,,,,,,къори,къоро,V,"къорери<V>:къор[thematic-i,transitive]",Verb
лить,тӏиннери,,,,,,,тӏинни,тӏинно,V,"тӏиннери<V>:тӏинн[thematic-i,transitive]",Verb
курдюк,бехумугъул,б,бехумугъулол,бехумугъуллӏи,бехумугъулалӏол,,,,,N,,
ласточка,гьицӏичол,"б, й",гьицӏичолол,гьицӏичолалӏи,гьицӏичолалӏол,,,,,N,кӏвагьал,Adjective_no_class
ленивый,кӏвагьал,,,,,,,,,ADJ,,
мочь,бажаруноллу,,,,,,,бажарунолъи,бажарунолло,V,бажаруноллу<V>:бажарун[causative],Verb
ловить,биччери,,,,,,"биччери, йиччери",биччи,биччо,V,"биччери<V>:чч[thematic-i,transitive]",Verb_class_prefix_i_o
мозоль,пули,"б, б",пулил,пулиллӏи,пулилилӏи,,,,,N,,
мы,ищил,,,,,,,,,PRON,,
мы,илӏил,,,,,,,,,PRON,,
мяч,торъо,"б, б",торъол,торъоллӏи,торъолилӏи,,,,,N,,
нет,ссу,,,,,,,,,EXCL,,
один,себ,,,,,,,,,NUM,,
останавливаться,вугъери,,,,,,,вугъи,вугъиб,V,вугъери<V>:вугъ[thematic-i],Verb
острый,бар,,,,,,,,,ADJ,бар,Adjective_no_class
пастбище,алахи,"б, б",алахол,алахиллӏи,алахалӏи,алахил.ъо,,,,N,,
пепел,кье,"б, б",кьелил,кьелӏи,кьелилилӏи,,,,,N,,
первый,эсседусси,,,,,,,,,ADJ,эсседусси,Adjective_no_class
пищевод,ццула,"б, б",ццулол,,,,,,,N,,
плохой,тӏулу,,,,,,,,,ADJ,тӏулу,Adjective_no_class
плуг,кутум,"б, б",кутумол,кутумулӏи,кутумалӏи,,,,,N,,
просыпаться,бичӏчӏери,,,,,,"йичӏчӏиде, бичӏчӏиде, вачӏчӏилде, йачӏчӏилде, бачӏчӏилде",вучӏчӏи,вучӏчӏиб,V,вучӏчӏери<V>:вучӏчӏ[thematic-i],Verb
просить,ходери,,,,,,,ходи,ходо,V,"ходери<V>:ход[thematic-i,transitive]",Verb
позавчера,сунассиб,,,,,,,,,ADV,сунассиб,Adverb_no_class
постель,бешен,"б, б",бешемил,бешенлӏи,бешемалӏи,,,,,N,,
рваться,таннери,,,,,,,танни,танниб,V,таннери<V>:танн[thematic-i],Verb
рвать,танноллу,,,,,,,таннолъи,таннолло,V,танноллу<V>:танн[causative],Verb
пять,иᵸшдугу,,,,,,,,,NUM,,
ребенок,мочӏи,"в, в",мочӏил,мочӏишуб,мочӏилурул,,,,,N,,
ребенок,мочӏи,"й, й",мочӏил,мочӏиллӏи,мочӏилилӏол,,,,,N,,
ребро,исибулӏи рохъи,"б, б",рохъол,рохъиллӏи,рохъилалӏи,,,,,N,,
ремень,рокьучул,"р, р",рокьучулол,рокьучулулӏи,рокьучулалӏи,,,,,N,,
свекровь,илакьору,"й, й",илакьордобил,илакьорулӏи,илакьордобалӏи,,,,,N,,
свет,кванорлъир,"р, р",кванорлъирол,кванорлъирлӏи,кванорлъиралӏи,,,,,N,,
свидетель,анччиб,"в, в",анччибадул,анччибшув,анччибадалув,,,,,N,,
свидетельница,анччиб,"й, й",анччибадул,анччиблӏи,анччибулилӏи,,,,,N,,
седло,кьеркьил,"р, р",кьеркьилол,кьеркьилулӏи,кьеркьилалӏи,,,,,N,,
сеновал,бегъва,"б, б",бегъвадул,бегъулӏи,бегъвадалӏи,,,,,N,,
серый,хъвейи,,,,,,,,,ADJ,хъвейи,Adjective_no_class
скала,кьури,"б, б",кьурибол,кьуриллӏи,кьурибалӏи,,,,,N,,
след,лъол,"р, р; б, б",лъолибол,лъолулӏи,лъолибалӏи,,,,,N,,
созревать,биъунну,,,,,,вуъинну,биъун,вуъум,V,биъунну<V>:ъу[nasal],Verb_class_prefix_i_o
слеза,моъо,"б, б",моъол,моъолӏи,моъолилӏи,,,,,N,,
сова,бугьу,"б, й",,,,,,,,N,,
солод,инни,р,,инниллӏи,,,,,,N,,
спрашивать,рацӏцӏинну,,,,,,,рацӏцӏин,рацӏцӏон,V,"рацӏцӏинну<V>:рацӏцӏи[nasal,transitive]",Verb
тереть,чӏчӏанну,,,,,,,чӏчӏан,чӏчӏанно,V,,Verb
сыпать,чаболлу,,,,,,,чаболъи,чаболло,V,чаболлу<V>:чаб[causative],Verb
темный,ботӏи,,,,,,,,,ADJ,ботӏи,Adjective_no_class
три,лъобгу,,,,,,,,,NUM,,
тридцать,лъобцӏогу,,,,,,,,,NUM,,
труп,джаназа,"б, б",джаназобил,джаназулӏи,джаназобалӏи,,,,,N,,
уксус,къанцӏи,б,,къанцӏилӏи,,,,,,N,,
улыбаться,ккиммери,,,,,,,ккимми,ккиммиб,V,ккиммери<V>:ккимм[thematic-i],Verb
улей,кону,,,,,,,,,N,,
улитка,щонкӏур,"б, й",щонкӏурдул,щонкӏурулӏи,щонкӏурдалӏи,,,,,N,,
умный,цӏцӏудур,,,,,,,,,ADJ,цӏцӏудур,Adjective_no_class
храпеть,хоммери,,,,,,,хомми,хоммо,V,"хоммери<V>:хомм[thematic-i,transitive]",Verb
ущелье,рекӏкӏа,"б, б",рекӏкӏадул,рекӏкӏулӏи,рекӏкӏадалӏи,,,,,N,,
хороший,шуб,,,,,,"шув, шур, шуй, шубул, шурил, шуйил, шувул",,,ADJ,шуб:шу,Adjective_class_suffix
час,саъати,"р, р; б, б",саъатобил,саъатулӏи,саъатобалӏи,,,,,N,,
часто,бигьу,,,,,,"бигьу, ригьу, йигьу, вугьу",,,ADV,бигьу:гьу,Adverb_class_prefix_i_u
червь,жолка,"б, й",жолкол,жолкалӏи,жолкалилӏи,,,,,N,,
черемша,хӏанку,"б, б",хӏанкулол,хӏанкулӏи,хӏанкулолилӏи,,,,,N,,
чистить,бецӏцӏомийдери,,,,,,,бецӏцӏомийди,бецӏцӏомийдо,V,"бецӏцӏомийдери<V>:бецӏцӏомийд[thematic-i,transitive]",Verb
шапка,авъара,"б, б",авъардул,авъарулӏи,авъардалӏи,,,,,N,,
шесть,ойлӏигу,,,,,,,,,NUM,,
ягненок,бура,"б, й",бурдил,бурулӏи,бурдилӏи,,,,,N,,
болеть,рукъвери,,,,,,,рукъу,рукъуб,V,рукъвери<V>:рукъв[thematic-u],Verb
яд,загьру,"б, б",загьродул,загьрулӏи,загьродалӏи,,,,,N,,
абрикос,къурчи,"б, б",къурчил,къурчиллӏи,къурчилилӏи,,,,,N,,
бедро,ахъу,"б, б",ахъобил,ахъулолӏи,ахъулолӏи,,,,,N,,
варить,билъонну,,,,,,"билъонну, рилъонну, волъонну, болъонний",билъон,билъон,V,"билъонну<V>:билъо[nasal,transitive]",Verb_class_prefix_i_o
брать,бихери,,,,,,"рихи, бихи, бохи",бихи,бихо,V,"бихери<V>:х[thematic-i,transitive]",Verb_class_prefix_i_o
покупать,бихери,,,,,,"рихи, бихи, бохи",бихи,бихо,V,"бихери<V>:х[thematic-i,transitive]",Verb_class_prefix_i_o
брить,ханнери,,,,,,,ханни,ханно,V,"ханнери<V>:ханн[thematic-i,transitive]",Verb
вянуть,бечӏанну,,,,,,речӏанну,бечӏанни,бечӏам,V,бечӏанну<V>:ечӏа[nasal],Verb_class_prefix
верить,бужери,,,,,,"бужу, ружу",бужу,бужуб,V,бужери<V>:уж[thematic-u],Verb_class_prefix
видеть,гьаъери,,,,,,,гьаъо,гьаъоб,V,гьаъери<V>:гьаъ[thematic-o],Verb
ветка,анга,"р, р",ангибол,ангулӏи,ангибалӏи,,,,,N,,
давать,иччери,,,,,,,иччи,иччо,V,"иччери<V>:ичч[thematic-i,transitive]",Verb
